,striker,strike_rate,runs_50_to_99,runs_100_plus,boundary_percentage,normal_runs,total_runs,balls_faced,player_dismissed,dismissal_count,batting_avg
280,KMDN Kulasekara,166.67,0,0,33.33,1.0,5,3,,0.0,5.0
281,KP Appanna,50.0,0,0,0.0,2.0,2,4,KP Appanna,1.0,2.0
282,KP Pietersen,132.06,4,1,17.28,337.0,1001,758,KP Pietersen,28.0,35.75
283,KR Mayers,137.32,4,0,21.74,75.0,379,276,KR Mayers,13.0,29.15
284,KR Sen,0.0,0,0,0.0,0.0,0,3,,0.0,0.0
285,KS Bharat,118.45,1,0,11.9,86.0,199,168,KS Bharat,7.0,28.43
286,KS Sharma,64.0,0,0,4.0,12.0,16,25,KS Sharma,3.0,5.33
287,KS Williamson,123.32,18,0,14.47,853.0,2105,1707,KS Williamson,58.0,36.29
288,KV Sharma,110.34,0,0,11.03,139.0,320,290,KV Sharma,23.0,13.91
289,KW Richardson,92.31,0,0,7.69,19.0,36,39,KW Richardson,3.0,12.0
290,Kamran Akmal,164.1,1,0,26.92,24.0,128,78,Kamran Akmal,5.0,25.6
291,Kamran Khan,60.0,0,0,0.0,2.0,3,5,Kamran Khan,1.0,3.0
292,Karanveer Singh,70.59,0,0,5.88,7.0,12,17,Karanveer Singh,1.0,12.0
293,Kartik Tyagi,81.25,0,0,6.25,8.0,13,16,Kartik Tyagi,4.0,3.25
294,Kuldeep Yadav,75.56,0,0,6.67,74.0,136,180,Kuldeep Yadav,9.0,15.11
295,L Ablish,0.0,0,0,0.0,0.0,0,2,,0.0,0.0
296,L Balaji,72.0,0,0,6.0,18.0,36,50,L Balaji,8.0,4.5
297,L Ronchi,91.89,0,0,18.92,4.0,34,37,L Ronchi,5.0,6.8
298,LA Carseldine,114.08,0,0,15.49,29.0,81,71,LA Carseldine,4.0,20.25
299,LA Pomersbach,120.32,1,0,15.14,104.0,302,251,LA Pomersbach,11.0,27.45
300,LE Plunkett,33.33,0,0,0.0,1.0,1,3,LE Plunkett,1.0,1.0
301,LH Ferguson,142.55,0,0,17.02,25.0,67,47,LH Ferguson,2.0,33.5
